QuoteNumber,QuoteConversion_Flag
3,0.000736966127006
5,0.0268683667853
7,0.0327529185824
9,0.00784357577562
10,0.310298954397
11,0.0166924673691
15,4.66239610978e-05
16,0.0173794863839
17,2.40861267775e-05
21,4.33715013514e-06
23,0.0258695460297
24,0.342340368629
27,3.05965591724e-05
31,0.229439282566
33,0.0626286420971
34,0.0609147838876
36,0.000255290102505
39,5.34673301445e-05
42,0.0970860932022
43,0.143768385649
46,0.047155551333
48,0.119812898338
49,0.160644199103
52,0.0555103081837
54,0.728396550417
55,0.656603284478
56,0.996004307866
58,0.0198894610722
60,2.13349453952e-05
61,0.0165454910975
63,0.389554685652
67,0.102698947266
68,2.9309779311e-05
69,0.667325357795
75,0.000146795789333
81,0.0140879647527
82,0.255709871352
98,0.206371876895
100,0.0158538994938
107,0.381115647256
108,0.981747478843
110,0.015993130533
113,0.0124008295825
115,0.000421674434037
116,0.163378660977
119,0.0745586659014
120,0.0368764689006
122,2.88016187915e-05
125,0.99738006413
130,7.80851627133e-05
132,0.204949592799
135,0.00248075990938
137,0.0554594690353
138,0.0948064729571
144,0.0010775636544
145,0.0829546049982
146,0.0148526754789
150,0.0782773058489
155,0.00504461050499
158,0.0345700283162
159,4.84603772384e-05
160,7.46592204814e-05
162,0.129097375125
163,5.68339824895e-05
164,4.12779410544e-05
165,3.91450450479e-05
168,0.0201371962391
172,0.0465298638865
173,0.992689133286
174,0.0219906005822
175,0.00541878526099
176,0.162167823762
178,7.80156539986e-05
181,0.0018080966518
183,4.02645342547e-05
190,0.822592186928
198,9.04078679741e-05
200,0.00563976109494
201,0.000173955454156
204,0.157631789297
205,0.604618282318
207,0.999847519398
210,0.0705636670068
211,0.993296561241
213,0.000680710764718
215,0.000244212250254
218,0.000249319900613
222,5.63045177159e-06
223,0.0558903351054
227,0.992404773831
228,0.000234572007612
231,0.781511033773
238,0.0615100550652
241,0.00164509349037
245,0.00190102173248
253,4.01118882564e-06
257,0.551556314528
263,0.0494531453028
264,0.000258149027795
265,2.81738033209e-06
